,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0
2020-09-23 14:01:00,1.0,1.5,-1.5,-0.5,0.0,-1.0,0.5,0.5,-1.5,1.5,-1.0,-1.0
2020-09-23 14:02:00,1.0,1.6666666666666667,-1.3333333333333333,-1.0,0.0,-1.3333333333333333,0.3333333333333333,0.6666666666666666,-1.3333333333333333,2.0,-0.6666666666666666,-1.0
2020-09-23 14:03:00,0.75,1.75,-1.25,-1.0,-0.25,-1.75,0.0,0.5,-1.0,2.0,-0.5,-1.25
2020-09-23 14:04:00,0.4,1.6,-1.2,-0.8,-0.4,-1.8,-0.4,0.2,-0.8,2.2,-0.6,-1.2
2020-09-23 14:05:00,0.3333333333333333,1.3333333333333333,-1.0,-0.6666666666666666,-0.3333333333333333,-1.6666666666666667,-0.5,0.0,-0.8333333333333334,2.5,-0.6666666666666666,-1.0
2020-09-23 14:06:00,0.2857142857142857,1.2857142857142858,-0.7142857142857143,-0.42857142857142855,-0.42857142857142855,-1.7142857142857142,-0.42857142857142855,-0.14285714285714285,-1.0,2.857142857142857,-0.8571428571428571,-0.8571428571428571
2020-09-23 14:07:00,0.375,1.25,-0.5,-0.25,-0.375,-1.625,-0.25,-0.375,-1.25,3.0,-1.125,-0.875
2020-09-23 14:08:00,0.4444444444444444,1.1111111111111112,-0.2222222222222222,-0.2222222222222222,-0.3333333333333333,-1.5555555555555556,0.0,-0.5555555555555556,-1.5555555555555556,3.2222222222222223,-1.3333333333333333,-1.0
2020-09-23 14:09:00,0.6,1.0,0.1,-0.3,-0.3,-1.4,0.1,-0.7,-1.8,3.3,-1.6,-1.2
2020-09-23 14:10:00,0.6363636363636364,0.9090909090909091,0.45454545454545453,-0.36363636363636365,-0.18181818181818182,-1.1818181818181819,0.2727272727272727,-0.9090909090909091,-2.090909090909091,3.4545454545454546,-1.8181818181818181,-1.4545454545454546
2020-09-23 14:11:00,0.5833333333333334,0.9166666666666666,0.75,-0.4166666666666667,-0.16666666666666666,-0.9166666666666666,0.4166666666666667,-1.1666666666666667,-2.3333333333333335,3.5833333333333335,-1.9166666666666667,-1.5833333333333333
2020-09-23 14:12:00,0.5384615384615384,0.9230769230769231,1.0,-0.38461538461538464,-0.23076923076923078,-0.6923076923076923,0.6153846153846154,-1.3076923076923077,-2.6153846153846154,3.769230769230769,-2.076923076923077,-1.7692307692307692
2020-09-23 14:13:00,0.42857142857142855,0.8571428571428571,1.2857142857142858,-0.35714285714285715,-0.21428571428571427,-0.5,0.8571428571428571,-1.5,-2.9285714285714284,4.0,-2.2857142857142856,-2.0
2020-09-23 14:14:00,0.4,0.8,1.4666666666666666,-0.3333333333333333,-0.2,-0.4,1.1333333333333333,-1.7333333333333334,-3.1333333333333333,4.2,-2.466666666666667,-2.2
2020-09-23 14:15:00,0.3125,0.75,1.6875,-0.3125,-0.1875,-0.375,1.375,-1.9375,-3.3125,4.3125,-2.625,-2.375
2020-09-23 14:16:00,0.29411764705882354,0.6470588235294118,1.8823529411764706,-0.23529411764705882,-0.11764705882352941,-0.29411764705882354,1.588235294117647,-2.0588235294117645,-3.5294117647058822,4.352941176470588,-2.7058823529411766,-2.5294117647058822
2020-09-23 14:17:00,0.2777777777777778,0.6111111111111112,2.0,-0.16666666666666666,0.0,-0.2222222222222222,1.7222222222222223,-2.1666666666666665,-3.7222222222222223,4.444444444444445,-2.7222222222222223,-2.611111111111111
2020-09-23 14:18:00,0.3157894736842105,0.631578947368421,2.1052631578947367,-0.15789473684210525,0.05263157894736842,-0.15789473684210525,1.894736842105263,-2.3157894736842106,-3.8947368421052633,4.526315789473684,-2.736842105263158,-2.6315789473684212
2020-09-23 14:19:00,0.3,0.6,2.2,-0.15,0.05,-0.15,2.05,-2.4,-4.1,4.6,-2.7,-2.7
2020-09-23 14:20:00,0.3333333333333333,0.5238095238095238,2.2857142857142856,-0.09523809523809523,0.0,-0.09523809523809523,2.238095238095238,-2.5238095238095237,-4.333333333333333,4.619047619047619,-2.6666666666666665,-2.761904761904762
2020-09-23 14:21:00,0.36363636363636365,0.5,2.3181818181818183,0.0,-0.045454545454545456,-0.09090909090909091,2.409090909090909,-2.6818181818181817,-4.5,4.636363636363637,-2.590909090909091,-2.8181818181818183
2020-09-23 14:22:00,0.43478260869565216,0.43478260869565216,2.347826086956522,0.043478260869565216,-0.13043478260869565,-0.13043478260869565,2.608695652173913,-2.869565217391304,-4.608695652173913,4.6521739130434785,-2.5652173913043477,-2.9130434782608696
2020-09-23 14:23:00,0.5,0.3333333333333333,2.4166666666666665,0.125,-0.20833333333333334,-0.20833333333333334,2.8333333333333335,-3.0833333333333335,-4.708333333333333,4.625,-2.5833333333333335,-3.0416666666666665
2020-09-23 14:24:00,0.52,0.28,2.48,0.2,-0.28,-0.32,3.04,-3.24,-4.76,4.56,-2.56,-3.12
2020-09-23 14:25:00,0.5769230769230769,0.19230769230769232,2.576923076923077,0.3076923076923077,-0.34615384615384615,-0.4230769230769231,3.230769230769231,-3.3846153846153846,-4.846153846153846,4.461538461538462,-2.5,-3.230769230769231
2020-09-23 14:26:00,0.6296296296296297,0.07407407407407407,2.7037037037037037,0.37037037037037035,-0.4074074074074074,-0.5185185185185185,3.4444444444444446,-3.5185185185185186,-4.888888888888889,4.333333333333333,-2.4074074074074074,-3.3333333333333335
2020-09-23 14:27:00,0.6785714285714286,-0.03571428571428571,2.7857142857142856,0.39285714285714285,-0.4642857142857143,-0.5714285714285714,3.607142857142857,-3.642857142857143,-4.928571428571429,4.214285714285714,-2.2857142857142856,-3.4285714285714284
2020-09-23 14:28:00,0.6896551724137931,-0.10344827586206896,2.896551724137931,0.3793103448275862,-0.5517241379310345,-0.6551724137931034,3.793103448275862,-3.793103448275862,-4.931034482758621,4.137931034482759,-2.1379310344827585,-3.5172413793103448
2020-09-23 14:29:00,0.7333333333333333,-0.2,2.966666666666667,0.36666666666666664,-0.6666666666666666,-0.7666666666666667,3.966666666666667,-3.933333333333333,-4.966666666666667,4.033333333333333,-2.033333333333333,-3.6
2020-09-23 14:30:00,0.8064516129032258,-0.25806451612903225,3.0,0.3870967741935484,-0.7741935483870968,-0.9032258064516129,4.161290322580645,-4.032258064516129,-5.0,3.935483870967742,-1.935483870967742,-3.6774193548387095
2020-09-23 14:31:00,0.84375,-0.28125,3.0625,0.40625,-0.90625,-1.03125,4.3125,-4.125,-5.0,3.8125,-1.8125,-3.75
2020-09-23 14:32:00,0.8787878787878788,-0.2727272727272727,3.121212121212121,0.3939393939393939,-1.0303030303030303,-1.121212121212121,4.424242424242424,-4.242424242424242,-4.96969696969697,3.6666666666666665,-1.696969696969697,-3.8484848484848486
2020-09-23 14:33:00,0.8823529411764706,-0.23529411764705882,3.176470588235294,0.35294117647058826,-1.1176470588235294,-1.2058823529411764,4.5,-4.323529411764706,-4.911764705882353,3.5,-1.588235294117647,-3.9411764705882355
2020-09-23 14:34:00,0.9142857142857143,-0.17142857142857143,3.2,0.34285714285714286,-1.2,-1.2571428571428571,4.6,-4.4,-4.857142857142857,3.3714285714285714,-1.5142857142857142,-4.0285714285714285
2020-09-23 14:35:00,0.9722222222222222,-0.08333333333333333,3.25,0.3611111111111111,-1.25,-1.2777777777777777,4.722222222222222,-4.444444444444445,-4.833333333333333,3.25,-1.4166666666666667,-4.111111111111111
2020-09-23 14:36:00,1.027027027027027,-0.02702702702702703,3.324324324324324,0.40540540540540543,-1.2972972972972974,-1.2972972972972974,4.864864864864865,-4.45945945945946,-4.8108108108108105,3.1621621621621623,-1.2972972972972974,-4.1891891891891895
2020-09-23 14:37:00,1.0526315789473684,0.0,3.3684210526315788,0.47368421052631576,-1.368421052631579,-1.3157894736842106,5.0,-4.473684210526316,-4.7894736842105265,3.1052631578947367,-1.1578947368421053,-4.2894736842105265
2020-09-23 14:38:00,1.0512820512820513,0.05128205128205128,3.4358974358974357,0.5384615384615384,-1.4102564102564104,-1.3333333333333333,5.128205128205129,-4.461538461538462,-4.743589743589744,3.0256410256410255,-1.0256410256410255,-4.358974358974359
2020-09-23 14:39:00,1.075,0.075,3.5,0.6,-1.45,-1.325,5.25,-4.45,-4.675,2.925,-0.9,-4.4
2020-09-23 14:40:00,1.1219512195121952,0.0975609756097561,3.5853658536585367,0.6341463414634146,-1.4878048780487805,-1.3414634146341464,5.390243902439025,-4.414634146341464,-4.609756097560975,2.8048780487804876,-0.7804878048780488,-4.439024390243903
2020-09-23 14:41:00,1.1904761904761905,0.09523809523809523,3.642857142857143,0.6666666666666666,-1.5476190476190477,-1.3571428571428572,5.523809523809524,-4.357142857142857,-4.571428571428571,2.6666666666666665,-0.6428571428571429,-4.5
2020-09-23 14:42:00,1.2325581395348837,0.09302325581395349,3.697674418604651,0.7209302325581395,-1.627906976744186,-1.3953488372093024,5.674418604651163,-4.27906976744186,-4.558139534883721,2.5348837209302326,-0.4883720930232558,-4.534883720930233
2020-09-23 14:43:00,1.2727272727272727,0.06818181818181818,3.727272727272727,0.75,-1.7045454545454546,-1.4545454545454546,5.840909090909091,-4.2272727272727275,-4.568181818181818,2.409090909090909,-0.3181818181818182,-4.545454545454546
2020-09-23 14:44:00,1.288888888888889,0.022222222222222223,3.7555555555555555,0.8,-1.8,-1.488888888888889,6.0,-4.2,-4.555555555555555,2.311111111111111,-0.17777777777777778,-4.555555555555555
